Headline 1,Headline 2
"Council approves $32,750 contract for video production company to create police recruitment videos.","Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"City Council approves $32,750 contract for police recruitment videos.","Council places a two-week hold on a $33,292 tuition reimbursement for an employee."
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks","City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
Council delays decision on agreement allowing community college students to train with city emergency medical services.,"Council approves $32,750 contract for video production company to create police recruitment videos."
"City Council approves $32,750 contract for police recruitment videos.",Proposed EMS student training partnership with the community college is held in committee.
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",Council holds decision on EMS student training agreement with Community College of Allegheny County
Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,"Council approves $32,750 contract for video production company to create police recruitment videos."
"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.","City Council approves $32,750 contract for police recruitment videos."
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty","City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves $32,750 contract for video production company to create police recruitment videos."
"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.","City Council approves $32,750 contract for police recruitment videos."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves $32,750 contract for video production company to create police recruitment videos.",Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.
"City Council approves $32,750 contract for police recruitment videos.",Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves $32,750 contract for video production company to create police recruitment videos."
"City Council approves $32,750 contract for police recruitment videos.","Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.","Council approves $32,750 contract for video production company to create police recruitment videos."
"City Council approves $32,750 contract for police recruitment videos.","Council recommends paying a $72,500 debt for 811 damage prevention calls."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts","City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves $32,750 contract for video production company to create police recruitment videos.",Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.
The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,"City Council approves $32,750 contract for police recruitment videos."
Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.","Council approves $32,750 contract for video production company to create police recruitment videos."
"City Council approves $32,750 contract for police recruitment videos.",Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","Council approves $32,750 contract for video production company to create police recruitment videos."
"Council recommends selling a URA-owned lot on Island Avenue for $3,600.","City Council approves $32,750 contract for police recruitment videos."
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves $32,750 contract for video production company to create police recruitment videos.","Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,"City Council approves $32,750 contract for police recruitment videos."
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
"City Council accepts a $250,000 state grant for the Smallman Street project.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council approves an additional $382,513 for the Haverhill stormwater and road project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,"City Council accepts a $250,000 state grant for the Smallman Street project."
City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
"City Council accepts a $250,000 state grant for the Smallman Street project.",Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.","Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
"City Council accepts a $250,000 state grant for the Smallman Street project.","A resolution for a $33,292 tuition reimbursement is held in committee."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,Council holds tuition reimbursement payment for Mohammed Burny for further review
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council delays decision on sale of 23rd Ward property.,"City Council accepts a $250,000 state grant for the Smallman Street project."
City Council holds resolution on sale of 23rd Ward property for two weeks,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council places a two-week hold on a $33,292 tuition reimbursement for an employee."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks"
Council delays decision on agreement allowing community college students to train with city emergency medical services.,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
Proposed EMS student training partnership with the community college is held in committee.,"City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,Council holds decision on EMS student training agreement with Community College of Allegheny County
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
"City Council accepts a $250,000 state grant for the Smallman Street project.","Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district."
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council recommends an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,"City Council accepts a $250,000 state grant for the Smallman Street project."
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.","City Council accepts a $250,000 state grant for the Smallman Street project."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.","Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council recommends paying a $72,500 debt for 811 damage prevention calls."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.
The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,"City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290."
Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,"City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
"City Council accepts a $250,000 state grant for the Smallman Street project.","Council recommends selling a URA-owned lot on Island Avenue for $3,600."
Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.","Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
"City Council accepts a $250,000 state grant for the Smallman Street project.",Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"Council approves an additional $382,513 for the Haverhill stormwater and road project.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,City Council authorizes an agreement with PennDOT to share road and bridge maintenance.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,"A resolution for a $33,292 tuition reimbursement is held in committee."
Council holds tuition reimbursement payment for Mohammed Burny for further review,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council delays decision on sale of 23rd Ward property.,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
City Council holds resolution on sale of 23rd Ward property for two weeks,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.",Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,Council delays decision on agreement allowing community college students to train with city emergency medical services.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Proposed EMS student training partnership with the community college is held in committee.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council holds decision on EMS student training agreement with Community College of Allegheny County
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League."
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees."
"Council recommends paying a $72,500 debt for 811 damage prevention calls.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,"Council recommends selling a URA-owned lot on Island Avenue for $3,600."
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.","Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","Council approves an additional $382,513 for the Haverhill stormwater and road project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.
City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23."
"A resolution for a $33,292 tuition reimbursement is held in committee.","Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,Council holds tuition reimbursement payment for Mohammed Burny for further review
"Council holds resolution to sell city-owned property on Itin Street for $3,755.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
Council delays decision on sale of 23rd Ward property.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
City Council holds resolution on sale of 23rd Ward property for two weeks,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","Council places a two-week hold on a $33,292 tuition reimbursement for an employee."
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council delays decision on agreement allowing community college students to train with city emergency medical services.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",Proposed EMS student training partnership with the community college is held in committee.
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,Council holds decision on EMS student training agreement with Community College of Allegheny County
Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty"
"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","Council recommends an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.
Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.","Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council recommends paying a $72,500 debt for 811 damage prevention calls.","Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.
Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.","Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council recommends selling a URA-owned lot on Island Avenue for $3,600.","Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.","Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.","Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.","Council approves an additional $382,513 for the Haverhill stormwater and road project."
"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office","City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",City Council authorizes an agreement with PennDOT to share road and bridge maintenance.
"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.","Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
Council delays vote on canceling a property sale for one week.,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
Council holds resolution to rescind 2022 property sale for one week,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.","Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.","A resolution for a $33,292 tuition reimbursement is held in committee."
Council holds tuition reimbursement payment for Mohammed Burny for further review,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
